Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_component,binary,binary_separation,time_since_acc_ended,origin,comment,log(H/H(e)),log(H/H(e))e,log(He/H(e)),log(He/H(e))e,log(Li/H(e)),log(Li/H(e))e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,log(Be/H(e)),log(Be/H(e))e,Acc_rate_Be_steady_state,Sinking_time_Be,log(C/H(e)),log(C/H(e))e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,log(N/H(e)),log(N/H(e))e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,log(O/H(e)),log(O/H(e))e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,log(Na/H(e)),log(Na/H(e))e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,log(Mg/H(e)),log(Mg/H(e))e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,log(Al/H(e)),log(Al/H(e))e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,log(Si/H(e)),log(Si/H(e))e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,log(P/H(e)),log(P/H(e))e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,log(S/H(e)),log(S/H(e))e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,log(Cl/H(e)),log(Cl/H(e))e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,log(Ar/H(e)),log(Ar/H(e))e,log(K/H(e)),log(K/H(e))e,Acc_rate_K_steady_state,Sinking_time_K,log(Ca/H(e)),log(Ca/H(e))e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,log(Sc/H(e)),log(Sc/H(e))e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,log(Ti/H(e)),log(Ti/H(e))e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,log(V/H(e)),log(V/H(e))e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,log(Cr/H(e)),log(Cr/H(e))e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,log(Mn/H(e)),log(Mn/H(e))e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,log(Fe/H(e)),log(Fe/H(e))e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,log(Co/H(e)),log(Co/H(e))e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,log(Ni/H(e)),log(Ni/H(e))e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,log(Cu/H(e)),log(Cu/H(e))e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,log(Zn/H(e)),log(Zn/H(e))e,Acc_rate_Zn_steady_state,Sinking_time_Zn,log(Ga/H(e)),log(Ga/H(e))e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,log(Ge/H(e)),log(Ge/H(e))e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,log(As/H(e)),log(As/H(e))e,log(Se/H(e)),log(Se/H(e))e,log(Sr/H(e)),log(Sr/H(e))e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,log(Sn/H(e)),log(Sn/H(e))e,log(I/H(e)),log(I/H(e))e,log(Ba/H(e)),log(Ba/H(e))e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing
WD J0343-5125,O'Brien 2023,WD J0343-5125 O'Brien 2023,6710.0,10.0,7.99,0.01,H,,,55.9475827427307,-51.4212645146902,Gaia DR3 4829340465475546880,35.83,0.03,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J0445-4232,O'Brien 2023,WD J0445-4232 O'Brien 2023,6650.0,10.0,7.92,0.01,H,,,71.4100909174734,-42.5486248795239,Gaia DR3 4815192671404177280,36.6,0.02,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J0626-1850,O'Brien 2023,WD J0626-1850 O'Brien 2023,7280.0,10.0,7.96,0.01,H,,,96.5855896938874,-18.8352304251803,Gaia DR3 2940238304793401472,27.94,0.04,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J0818-1512,O'Brien 2023,WD J0818-1512 O'Brien 2023,4720.0,10.0,7.68,0.01,H,,,124.683019498833,-15.2023159134373,Gaia DR3 5723025990435533056,30.41,0.14,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J0917-4546,O'Brien 2023,WD J0917-4546 O'Brien 2023,6260.0,10.0,7.97,0.01,H,,,139.286104756192,-45.770466159731,Gaia DR3 5423545067716723712,35.31,0.03,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J1059-2819,O'Brien 2023,WD J1059-2819 O'Brien 2023,6530.0,10.0,7.99,0.01,H,,,164.816592587592,-28.3322110402566,Gaia DR3 5456685104084844032,25.34,0.06,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J1141-3504,O'Brien 2023,WD J1141-3504 O'Brien 2023,4880.0,20.0,8.07,0.01,H,,,175.343255510692,-35.0685927292172,Gaia DR3 3464893058489831552,34.18,0.09,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.11,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J1530-6203,O'Brien 2023,WD J1530-6203 O'Brien 2023,5860.0,10.0,8.15,0.02,H,,,232.68734862528,-62.0511390354124,Gaia DR3 5827454649955072256,26.56,0.07,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J2017-4010,O'Brien 2023,WD J2017-4010 O'Brien 2023,5250.0,20.0,8.08,0.01,H,,,304.344501833667,-40.1788154140498,Gaia DR3 6692573110423893376,25.3,0.1,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.62,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J2020-6525,O'Brien 2023,WD J2020-6525 O'Brien 2023,6120.0,10.0,8.2,0.02,H,,,305.069937007589,-65.4230843743513,Gaia DR3 6429048245152936320,25.99,0.07,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J2027-5630,O'Brien 2023,WD J2027-5630 O'Brien 2023,3750.0,130.0,7.7,0.1,H,,,306.950113885333,-56.5087713896286,Gaia DR3 6468965052723781888,28.0,0.1,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J2303-3710,O'Brien 2023,WD J2303-3710 O'Brien 2023,4790.0,50.0,8.28,0.03,H,,,345.939676918769,-37.1809883327085,Gaia DR3 6552878165248320896,30.9,0.1,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.76,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J1410-7510,O'Brien 2023,WD J1410-7510 O'Brien 2023,5180.0,10.0,8.011,0.007,H,,,212.673645044034,-75.1750503606237,Gaia DR3 5790182751914903424,30.01,0.08,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.64,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.36,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J1540-4858,O'Brien 2023,WD J1540-4858 O'Brien 2023,5000.0,30.0,8.1,0.02,H,,,235.221177482838,-48.9772094449274,Gaia DR3 5985749857190372480,27.4,0.1,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.57,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.77,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J0808-5300,O'Brien 2023,WD J0808-5300 O'Brien 2023,4910.0,10.0,8.34,0.01,H,,,122.141384547947,-53.0165218253137,Gaia DR3 5320436784269889792,33.29,0.08,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,MgH absorption feature at 5200A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6,0.02,,,,,,-8.16,0.02,,,,,,-9.54,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.74,0.02,,,,,,,,,,,,,,,,,,,,,,,-10.48,0.03,,,,,,,,,,,,,-9.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J0213-3345,O'Brien 2024,WD J0213-3345 O'Brien 2024,5150.0,150.0,7.6,0.2,H,,,33.4534512387191,-33.7583438269276,Gaia DR3 4970215770740383616,53.3325,0.0649,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.8687O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD J1154-6239,O'Brien 2024,WD J1154-6239 O'Brien 2024,5100.0,100.0,7.97,0.05,H,,,178.725289170252,-62.6553955823976,Gaia DR3 5334619419176460928,44.5371,0.0516,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.8687O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaia J0006+2858,Owens 2023,Gaia J0006+2858 Owens 2023,23921.0,335.0,8.04,0.04,H,,,1.644636985741,28.9795950975753,Gaia DR3 2860923998433585664,6.5812,0.0758,,,,disc,gas,,,,https://ui.adsabs.harvard.edu/abs/2023AJ....166....5O/abstract,gas emission from Gentile Fusillo 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.17,0.1,7900000.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaia J0611-6931,Owens 2023,Gaia J0611-6931 Owens 2023,17749.0,248.0,8.14,0.04,H,,,92.8820801018728,-69.5172638158476,Gaia DR3 5279484614703730944,6.9865,0.0514,,,,disc,gas,,,,https://ui.adsabs.harvard.edu/abs/2023AJ....166....5O/abstract,gas detection from Melis 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.03,0.19,8200000.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaia J2100+2122,Owens 2023,Gaia J2100+2122 Owens 2023,25565.0,358.0,8.1,0.04,H,,,315.14436842058,21.3824694304336,Gaia DR3 1837948790953103232,11.3534,0.0464,,,,disc,gas,,,,https://ui.adsabs.harvard.edu/abs/2023AJ....166....5O/abstract,gas detection from Melis 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.22,0.14,8000000.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD 0920+012,Sayres 2012,WD 0920+012 Sayres 2012,6290.0,60.0,,,H,,,140.733605225055,1.052818887212,Gaia DR3 3843957354387777152,30.905,0.0573,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2012AJ....143..103S/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD 1032+230,Sayres 2012,WD 1032+230 Sayres 2012,6770.0,20.0,,,H,,,158.680950884666,22.7635790419287,Gaia DR3 721648380828681984,24.4294,0.0574,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2012AJ....143..103S/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD 1408+029,Sayres 2012,WD 1408+029 Sayres 2012,5570.0,90.0,,,H,,,212.666572557878,2.7536394633408,Gaia DR3 3667514634669861120,36.0908,0.0642,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2012AJ....143..103S/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD 2051-051,Sayres 2012,WD 2051-051 Sayres 2012,10470.0,60.0,,,H,,,313.428928179642,-4.9943662056883,Gaia DR3 6913719808262954880,22.4446,0.0386,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2012AJ....143..103S/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDJ174935.61-235500.63,Tremblay 2020,WDJ174935.61-235500.63 Tremblay 2020,7430.0,70.0,8.03,0.02,H,,,267.398357689048,-23.9168422531979,Gaia DR3 4068499305485306240,37.59,0.03,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..130T/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.44,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDJ180218.60+135405.46,Tremblay 2020,WDJ180218.60+135405.46 Tremblay 2020,8280.0,70.0,8.06,0.05,H,,,270.577496304461,13.9015167967373,Gaia DR3 4496751667093478016,25.0,0.04,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..130T/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.81,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDJ013055.01+441423.29,Tremblay 2020,WDJ013055.01+441423.29 Tremblay 2020,4950.0,20.0,7.94,0.02,H,,,22.7292294937661,44.2398027912278,Gaia DR3 396963005168870528,26.2,0.1,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..130T/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.99,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.9,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDJ113444.64+610826.68,Tremblay 2020,WDJ113444.64+610826.68 Tremblay 2020,7590.0,40.0,7.96,0.02,H,,,173.686016914557,61.1407441430202,Gaia DR3 859567752163281792,35.58,0.03,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..130T/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.79,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.95,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD1455+298,Vennes & Kawka 2013,WD1455+298 Vennes & Kawka 2013,7383.0,19.0,7.97,0.03,H,,,224.527035200631,29.6248653518578,Gaia DR3 1281989124439286912,34.9975,0.0293,,,,disc,,,,,https://ui.adsabs.harvard.edu/abs/2013ApJ...779...70V/abstract,infrared excess from Farihi 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.51,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G74-7,Vennes & Kawka 2013,G74-7 Vennes & Kawka 2013,7306.0,22.0,8.06,0.02,H,,,32.8368420289973,39.9226434456872,Gaia DR3 333010327952701696,58.2306,0.0265,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2013ApJ...779...70V/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.79,0.06,,,,,,-8.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD1257+278,Vennes & Kawka 2013,WD1257+278 Vennes & Kawka 2013,8609.0,20.0,8.24,0.02,H,,,194.944403104446,27.5678160742369,Gaia DR3 1460689760003983232,30.3229,0.0433,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2013ApJ...779...70V/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.49,0.08,,,,,,-8.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.38,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.47,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALEX 1931+0117,Vennes 2011,GALEX 1931+0117 Vennes 2011,20890.0,120.0,7.9,0.04,H,,,292.987215068255,1.2955853074291,Gaia DR3 4287654959563143168,18.7782,0.0359,,,,disc,,,,,https://ui.adsabs.harvard.edu/abs/2011MNRAS.413.2545V/abstract,infrared excess from Koester 2014,,,,,,,,,,,,,,-4.2,-1.0,100000000.0,,,,,,,,-3.62,0.05,1995262314.96888,,,,0.793781234360831,,,,,,,,-4.42,0.07,56234132.5190349,,,,0.022371794820806,,,,,,,,-4.24,0.08,177827941.003892,,,,0.070745826979705,,,,,,,,,,,,,,,,,,,,,,-6.11,0.07,2454708.91568503,,,,0.000976564263491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.43,0.1,281838293.126445,,,,0.112124579575166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 0209+0832,Wolff 2000,HS 0209+0832 Wolff 2000,35900.0,300.0,7.79,0.06,H,,,33.0202265874452,8.7808026392404,Gaia DR3 2521867808229983744,12.0996,0.056,300000000000000.0,,,,,,,,https://ui.adsabs.harvard.edu/abs/2000A%26A...361..629W/abstract,,,,-2.0,0.2,,,,,,,,,,-5.3,0.2,,,,-5.3,-1.0,,,,-4.3,-1.0,,,,,,,,,,,,,-3.5,-1.0,,,,,,-7.1,0.1,,,,,,-8.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,0.2,,,,,,,,,,,-6.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,-6.6,-1.0,,,,,,,,,,,-6.3,0.2,,,,,,,,,,,-7.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG 0010+280,Xu 2019,PG 0010+280 Xu 2019,27220.0,400.0,7.87,0.1,H,,,3.3378022745432,28.3388399057067,Gaia DR3 2859951106737135488,7.3766,0.0473,,,,disc?,,,,,https://ui.adsabs.harvard.edu/abs/2019AJ....158..242X/abstract,"Uses C abundance from CII lines, -8.01 is C abundance from CIII lines",,,,,,,,,,,,,,-6.75,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.51,0.15,110000.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
